TYPE;STATUT;ADRESSE;ARRONDISSEMENT;HORAIRE;ACCES_PMR;RELAIS_BEBE;URL_FICHE_EQUIPEMENT;geo_shape;geo_point_2d
TOILETTES;;PARC MONTSOURIS;75014;Voir fiche équipement;Oui;Non;https://www.paris.fr/equipements/jardin-et-aire-de-jeux-de-la-zac-alesia-montsouris-2867;"{""coordinates"": [[2.339848934049351, 48.82416257802962]], ""type"": ""MultiPoint""}";48.82416257802962,2.339848934049351
TOILETTES;;PARC DES BUTTES CHAUMONT;75019;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/parc-des-buttes-chaumont-1757;"{""coordinates"": [[2.3803345581319464, 48.88014301552132]], ""type"": ""MultiPoint""}";48.88014301552132,2.3803345581319464
TOILETTES;;PARC CLICHY-BATIGNOLLES - MARTIN LUTHER KING;75017;Voir fiche équipement;Oui;Non;https://www.paris.fr/equipements/parc-clichy-batignolles-martin-luther-king-2817;"{""coordinates"": [[2.3153725544851533, 48.889170022687885]], ""type"": ""MultiPoint""}";48.889170022687885,2.3153725544851533
TOILETTES;;PARC DE PASSY;75016;Voir fiche équipement;Oui;Non;https://www.paris.fr/equipements/parc-de-passy-2625;"{""coordinates"": [[2.2829801125761007, 48.8553646405576]], ""type"": ""MultiPoint""}";48.8553646405576,2.2829801125761007
TOILETTES;;JARDIN EMILE GALLE;75011;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/jardin-emile-galle-2730;"{""coordinates"": [[2.3904653022388125, 48.85378509897565]], ""type"": ""MultiPoint""}";48.85378509897565,2.3904653022388125
TOILETTES;;SQUARE FROT-PHALSBOURG;75011;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/square-frot-phalsbourg-2845;"{""coordinates"": [[2.3853941164721735, 48.85582536021133]], ""type"": ""MultiPoint""}";48.85582536021133,2.3853941164721735
TOILETTES;;JARDIN DE REUILLY - PAUL PERNIN;75012;Voir fiche équipement;Oui;Non;https://www.paris.fr/equipements/jardin-de-reuilly-paul-pernin-2573;"{""coordinates"": [[2.388283524133827, 48.84285653768209]], ""type"": ""MultiPoint""}";48.84285653768209,2.388283524133827
TOILETTES;;JARDIN CASQUE D'OR;75020;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/jardin-casque-d-or-2713;"{""coordinates"": [[2.4012137756162164, 48.85392001443604]], ""type"": ""MultiPoint""}";48.85392001443604,2.4012137756162164
SANISETTE;;1  PLACE VIOLET;75015;6 h - 22 h;Oui;;;"{""coordinates"": [[2.290479546332364, 48.84479730746867]], ""type"": ""MultiPoint""}";48.84479730746867,2.290479546332364
SANISETTE;;face au 12 PLACE DES ETATS UNIS;75016;6 h - 22 h;Oui;;;"{""coordinates"": [[2.293740160699616, 48.86830253319043]], ""type"": ""MultiPoint""}";48.86830253319043,2.293740160699616
SANISETTE;;face au 2 AVENUE DE WAGRAM;75017;24 h / 24;Oui;;;"{""coordinates"": [[2.295697431651681, 48.87494771234444]], ""type"": ""MultiPoint""}";48.87494771234444,2.295697431651681
SANISETTE;;72  AVENUE DE VILLIERS;75017;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3042061799186198, 48.884027564002565]], ""type"": ""MultiPoint""}";48.884027564002565,2.3042061799186198
SANISETTE;;2  RUE MONTCALM;75018;6 h - 22 h;Oui;;;"{""coordinates"": [[2.335221479388063, 48.89178882470802]], ""type"": ""MultiPoint""}";48.89178882470802,2.335221479388063
SANISETTE;;RUE GERARD DE NERVAL;75018;6 h - 22 h;Oui;;;"{""coordinates"": [[2.33510623705152, 48.90059318004156]], ""type"": ""MultiPoint""}";48.90059318004156,2.33510623705152
SANISETTE;;60  BOULEVARD DE LA CHAPELLE;75018;6 h - 1 h;Oui;;;"{""coordinates"": [[2.355151477096698, 48.884205159907864]], ""type"": ""MultiPoint""}";48.884205159907864,2.355151477096698
SANISETTE;;face au 5 AVENUE DE LAUMIERE;75019;6 h - 22 h;Oui;;;"{""coordinates"": [[2.381421987092033, 48.88302878255986]], ""type"": ""MultiPoint""}";48.88302878255986,2.381421987092033
SANISETTE;;14  RUE MEYNADIER;75019;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3834505083083677, 48.883501985506584]], ""type"": ""MultiPoint""}";48.883501985506584,2.3834505083083677
SANISETTE;;213  AVENUE JEAN JAURES;75019;24 h / 24;Oui;;;"{""coordinates"": [[2.393095759882974, 48.888951442257486]], ""type"": ""MultiPoint""}";48.888951442257486,2.393095759882974
SANISETTE;;6  AVENUE DE LA PORTE DE MONTREUIL;75020;6 h - 22 h;Oui;;;"{""coordinates"": [[2.4115163834644875, 48.85380970359548]], ""type"": ""MultiPoint""}";48.85380970359548,2.4115163834644875
SANISETTE;;117  RUE MONTMARTRE;;6 h - 22 h;Oui;;;"{""coordinates"": [[2.343235945649156, 48.86874906648296]], ""type"": ""MultiPoint""}";48.86874906648296,2.343235945649156
SANISETTE;;RUE CUVIER;;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3603946971559515, 48.84439660262885]], ""type"": ""MultiPoint""}";48.84439660262885,2.3603946971559515
SANISETTE;;COURS LA REINE;;24 h / 24;Oui;;;"{""coordinates"": [[2.318088034663091, 48.86514883797138]], ""type"": ""MultiPoint""}";48.86514883797138,2.318088034663091
SANISETTE;;opposé au 44 AVENUE GABRIEL;;24 h / 24;Oui;;;"{""coordinates"": [[2.31276020722228, 48.869470956238764]], ""type"": ""MultiPoint""}";48.869470956238764,2.31276020722228
SANISETTE;;SQUARE ALBAN SATRAGNE;75010;24 h / 24;Oui;;;"{""coordinates"": [[2.3558626724604177, 48.87578071143161]], ""type"": ""MultiPoint""}";48.87578071143161,2.3558626724604177
SANISETTE;;3  RUE DE MONTREUIL;75011;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3840379632151385, 48.850431570799614]], ""type"": ""MultiPoint""}";48.850431570799614,2.3840379632151385
SANISETTE;;face au 170 AVENUE LEDRU ROLLIN;75011;24 h / 24;Oui;;;"{""coordinates"": [[2.3793514782140166, 48.85704278201932]], ""type"": ""MultiPoint""}";48.85704278201932,2.3793514782140166
SANISETTE;;151  BOULEVARD VINCENT AURIOL;75013;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3615805510960683, 48.832713522967]], ""type"": ""MultiPoint""}";48.832713522967,2.3615805510960683
SANISETTE;;70  BOULEVARD JOURDAN;75014;6 h - 22 h;Oui;;;"{""coordinates"": [[2.328856513435701, 48.82262985130539]], ""type"": ""MultiPoint""}";48.82262985130539,2.328856513435701
TOILETTES;;SQUARE VIOLET;75015;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/square-violet-2531;"{""coordinates"": [[2.2891995647697234, 48.844292287340586]], ""type"": ""MultiPoint""}";48.844292287340586,2.2891995647697234
TOILETTES;;SQUARE PIERRE-ADRIEN DALPAYRAT;75015;Voir fiche équipement;Oui;Non;https://www.paris.fr/equipements/jardin-pierre-adrien-dalpayrat-2494;"{""coordinates"": [[2.313031069862712, 48.83776398633028]], ""type"": ""MultiPoint""}";48.83776398633028,2.313031069862712
TOILETTES;;SQUARE EMMANUEL FLEURY;75020;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/square-emmanuel-fleury-2720;"{""coordinates"": [[2.4110869136134663, 48.869910698557405]], ""type"": ""MultiPoint""}";48.869910698557405,2.4110869136134663
TOILETTES;;SQUARE VAN VOLLENHOVEN;75012;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/square-van-vollenhoven-2593;"{""coordinates"": [[2.406786549937932, 48.834706801799896]], ""type"": ""MultiPoint""}";48.834706801799896,2.406786549937932
TOILETTES;;SQUARE MONSEIGNEUR MAILLET;75019;Voir fiche équipement;Oui;Non;https://www.paris.fr/equipements/jardin-du-regard-de-la-lanterne-2677;"{""coordinates"": [[2.3931583823685254, 48.87669393559697]], ""type"": ""MultiPoint""}";48.87669393559697,2.3931583823685254
TOILETTES;;PARC DES BUTTES CHAUMONT;75019;Voir fiche équipement;Oui;Non;https://www.paris.fr/equipements/parc-des-buttes-chaumont-1757;"{""coordinates"": [[2.382779015108048, 48.882377973295455]], ""type"": ""MultiPoint""}";48.882377973295455,2.382779015108048
TOILETTES;;SQUARE DES SAINTS-SIMONIENS - MENILMONTANT;75020;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/square-des-saint-simoniens-2694;"{""coordinates"": [[2.396969579365494, 48.8708534006859]], ""type"": ""MultiPoint""}";48.8708534006859,2.396969579365494
TOILETTES;;SQUARE ALEX BISCARRE;75009;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/square-alex-biscarre-2464;"{""coordinates"": [[2.336728381553658, 48.87858749857325]], ""type"": ""MultiPoint""}";48.87858749857325,2.336728381553658
TOILETTES;;BOIS DE VINCENNES - PLATEAU DE SAINT-MANDE;75012;Voir fiche équipement;Oui;Non;https://www.paris.fr/equipements/parc-floral-de-paris-1;"{""coordinates"": [[2.420418982190452, 48.84310448292203]], ""type"": ""MultiPoint""}";48.84310448292203,2.420418982190452
URINOIR FEMME;;JARDIN TINO ROSSI - MUSEE DE LA SCULPTURE EN PLEIN AIR;75005;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/jardin-tino-rossi-1786;"{""coordinates"": [[2.359059981372502, 48.848303082096535]], ""type"": ""MultiPoint""}";48.848303082096535,2.359059981372502
WC PUBLICS PERMANENTS;;Boulevard Arago;75014;24h/24;;;;"{""coordinates"": [[2.3408276922295355, 48.83468779460271]], ""type"": ""MultiPoint""}";48.83468779460271,2.3408276922295355
SANISETTE;;face au 57 BOULEVARD LEFEBVRE;75015;6 h - 22 h;Oui;;;"{""coordinates"": [[2.2918340857566566, 48.830961567192446]], ""type"": ""MultiPoint""}";48.830961567192446,2.2918340857566566
SANISETTE;;face au 200 RUE DE LA CONVENTION;75015;24 h / 24;Oui;;;"{""coordinates"": [[2.296801972420026, 48.83718929817781]], ""type"": ""MultiPoint""}";48.83718929817781,2.296801972420026
SANISETTE;;face au 6 RUE DESNOUETTES;75015;24 h / 24;Oui;;;"{""coordinates"": [[2.2934177769483286, 48.83604524670522]], ""type"": ""MultiPoint""}";48.83604524670522,2.2934177769483286
SANISETTE;;101  BOULEVARD DE MONTMORENCY;75016;6 h - 22 h;Oui;;;"{""coordinates"": [[2.2605336150734368, 48.8483316153724]], ""type"": ""MultiPoint""}";48.8483316153724,2.2605336150734368
SANISETTE;;8 RUE COQUILLIERE;75001;6 h - 22 h;Oui;;;"{""coordinates"": [[2.343502404915637, 48.863289898304444]], ""type"": ""MultiPoint""}";48.863289898304444,2.343502404915637
SANISETTE;;35 RUE D'ALSACE;75010;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3585432983440064, 48.87867050061784]], ""type"": ""MultiPoint""}";48.87867050061784,2.3585432983440064
SANISETTE;;84 BOULEVARD VOLTAIRE;75011;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3745988243549156, 48.86057661085113]], ""type"": ""MultiPoint""}";48.86057661085113,2.3745988243549156
SANISETTE;;face au 36 RUE LEIBNIZ;75018;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3346274255529527, 48.896429139789866]], ""type"": ""MultiPoint""}";48.896429139789866,2.3346274255529527
SANISETTE;;296  RUE DES PYRENEES;75020;6 h - 22 h;Oui;;;"{""coordinates"": [[2.392052330778927, 48.871931093994846]], ""type"": ""MultiPoint""}";48.871931093994846,2.392052330778927
SANISETTE;;BOULEVARD MORTIER;75020;24 h / 24;Oui;;;"{""coordinates"": [[2.4069893470423627, 48.875944318964045]], ""type"": ""MultiPoint""}";48.875944318964045,2.4069893470423627
SANISETTE;;25  BOULEVARD DE LA VILLETTE;75010;6 h - 22 h;Oui;;;"{""coordinates"": [[2.37528176990251, 48.87348074198408]], ""type"": ""MultiPoint""}";48.87348074198408,2.37528176990251
SANISETTE;;face au 4 AVENUE CLAUDE VELLEFAUX;75010;6 h - 1 h;Oui;;;"{""coordinates"": [[2.369583030462243, 48.872315075210196]], ""type"": ""MultiPoint""}";48.872315075210196,2.369583030462243
SANISETTE;;face au 28 RUE DU GENERAL GUILHEM;75011;6 h - 1 h;Oui;;;"{""coordinates"": [[2.3790513927528196, 48.86230061990073]], ""type"": ""MultiPoint""}";48.86230061990073,2.3790513927528196
SANISETTE;;58  AVENUE DE LA REPUBLIQUE;75011;24 h / 24;Oui;;;"{""coordinates"": [[2.376082810937389, 48.86489721503484]], ""type"": ""MultiPoint""}";48.86489721503484,2.376082810937389
SANISETTE;;18  RUE ERARD;75012;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3849164360974444, 48.845592298253614]], ""type"": ""MultiPoint""}";48.845592298253614,2.3849164360974444
SANISETTE;;8  RUE DE LYON;75012;6 h - 1 h;Oui;;;"{""coordinates"": [[2.37177589149407, 48.84745150202467]], ""type"": ""MultiPoint""}";48.84745150202467,2.37177589149407
SANISETTE;;79  BOULEVARD KELLERMANN;75013;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3477269320555765, 48.819969758397754]], ""type"": ""MultiPoint""}";48.819969758397754,2.3477269320555765
SANISETTE;;61  BOULEVARD DE LA VILLETTE;75010;24 h / 24;Oui;;;"{""coordinates"": [[2.3721835445606665, 48.87619604525084]], ""type"": ""MultiPoint""}";48.87619604525084,2.3721835445606665
SANISETTE;;12  PLACE DE LA REPUBLIQUE;75010;24 h / 24;Oui;;;"{""coordinates"": [[2.363409140558088, 48.86839539424431]], ""type"": ""MultiPoint""}";48.86839539424431,2.363409140558088
TOILETTES;;SQUARE HELOISE ET ABELARD;75013;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/square-heloise-et-abelard-2498;"{""coordinates"": [[2.3698547770852607, 48.831220695011346]], ""type"": ""MultiPoint""}";48.831220695011346,2.3698547770852607
TOILETTES;;SQUARE DU CARDINAL WYSZINSKI;75014;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/square-du-cardinal-wyszynski-2549;"{""coordinates"": [[2.316402806531695, 48.83654537380638]], ""type"": ""MultiPoint""}";48.83654537380638,2.316402806531695
TOILETTES;;JARDIN DE L'HOPITAL SAINTE-PERINE;75016;Voir fiche équipement;Oui;Non;https://www.paris.fr/equipements/parc-sainte-perine-1806;"{""coordinates"": [[2.268511280811586, 48.84381761455925]], ""type"": ""MultiPoint""}";48.84381761455925,2.268511280811586
TOILETTES;;JARDIN DE L'HOPITAL SAINTE-PERINE;75016;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/parc-sainte-perine-1806;"{""coordinates"": [[2.268623313467747, 48.84388177705817]], ""type"": ""MultiPoint""}";48.84388177705817,2.268623313467747
TOILETTES;;SQUARE DE LA RUE CHARLES HERMITE;75018;Voir fiche équipement;Oui;Non;https://www.paris.fr/equipements/square-charles-hermite-2648;"{""coordinates"": [[2.366573419652228, 48.89989642935981]], ""type"": ""MultiPoint""}";48.89989642935981,2.366573419652228
TOILETTES;;PARC DES BUTTES CHAUMONT;75019;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/parc-des-buttes-chaumont-1757;"{""coordinates"": [[2.387309056086508, 48.88106418436492]], ""type"": ""MultiPoint""}";48.88106418436492,2.387309056086508
TOILETTES;;SQUARE DES MISSIONS ETRANGERES;75007;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/square-des-missions-etrangeres-2463;"{""coordinates"": [[2.324502934107625, 48.85240888634458]], ""type"": ""MultiPoint""}";48.85240888634458,2.324502934107625
SANISETTE;;199  AVENUE DU MAINE;75014;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3263079060218033, 48.82961024511326]], ""type"": ""MultiPoint""}";48.82961024511326,2.3263079060218033
SANISETTE;;83  RUE DESNOUETTES;75015;6 h - 22 h;Oui;;;"{""coordinates"": [[2.284141147850295, 48.83462852331886]], ""type"": ""MultiPoint""}";48.83462852331886,2.284141147850295
SANISETTE;;6  BOULEVARD PASTEUR;75015;24 h / 24;Oui;;;"{""coordinates"": [[2.3110142464028285, 48.84473649708047]], ""type"": ""MultiPoint""}";48.84473649708047,2.3110142464028285
SANISETTE;;face au 41 RUE DES MORILLONS;75015;6 h - 22 h;Oui;;;"{""coordinates"": [[2.2994986792906738, 48.83312572463117]], ""type"": ""MultiPoint""}";48.83312572463117,2.2994986792906738
SANISETTE;;170  AVENUE DE VERSAILLES;75016;6 h - 22 h;Oui;;;"{""coordinates"": [[2.2630781408913743, 48.83985538119863]], ""type"": ""MultiPoint""}";48.83985538119863,2.2630781408913743
SANISETTE;;9  QUAI LOUIS BLERIOT;75016;6 h - 22 h;Oui;;;"{""coordinates"": [[2.2778909899782995, 48.85083039519224]], ""type"": ""MultiPoint""}";48.85083039519224,2.2778909899782995
SANISETTE;;64  AVENUE DE LA GRANDE ARMEE;75017;6 h - 22 h;Oui;;;"{""coordinates"": [[2.2859503097570175, 48.87692989046236]], ""type"": ""MultiPoint""}";48.87692989046236,2.2859503097570175
SANISETTE;;face au 118 BOULEVARD DE CLICHY;75018;24 h / 24;Oui;;;"{""coordinates"": [[2.3302749974414314, 48.8843823956645]], ""type"": ""MultiPoint""}";48.8843823956645,2.3302749974414314
SANISETTE;;PLACE DES ABBESSES;;19 h - 7 h;Oui;;;"{""coordinates"": [[2.338685892541593, 48.884530709513804]], ""type"": ""MultiPoint""}";48.884530709513804,2.338685892541593
SANISETTE;;43  BOULEVARD BARBES;75018;24 h / 24;Oui;;;"{""coordinates"": [[2.349430631664718, 48.88849413840531]], ""type"": ""MultiPoint""}";48.88849413840531,2.349430631664718
SANISETTE;;11  RUE FRANCIS DE CROISSET;75018;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3444579980601805, 48.899388215542245]], ""type"": ""MultiPoint""}";48.899388215542245,2.3444579980601805
SANISETTE;;AVENUE DE LA PORTE DE CLIGNANCOURT;75018;6 h - 22 h;Oui;;;"{""coordinates"": [[2.344441605047738, 48.9011330331849]], ""type"": ""MultiPoint""}";48.9011330331849,2.344441605047738
SANISETTE;;44  RUE BERGER;;6 h - 1 h;Oui;;;"{""coordinates"": [[2.3422032218291124, 48.86234030275965]], ""type"": ""MultiPoint""}";48.86234030275965,2.3422032218291124
SANISETTE;;QUAI DE GESVRES;;24 h / 24;Oui;;;"{""coordinates"": [[2.3497964639684517, 48.856486160078234]], ""type"": ""MultiPoint""}";48.856486160078234,2.3497964639684517
SANISETTE;;32  AVENUE GEORGE V;;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3012200811935104, 48.868840348754716]], ""type"": ""MultiPoint""}";48.868840348754716,2.3012200811935104
SANISETTE;;8  PLACE LEON BLUM;75011;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3802426669536034, 48.85831317893598]], ""type"": ""MultiPoint""}";48.85831317893598,2.3802426669536034
SANISETTE;;3  RUE MAURICE NOGUES;75014;6 h - 22 h;Oui;;;"{""coordinates"": [[2.305343756075017, 48.826231659312086]], ""type"": ""MultiPoint""}";48.826231659312086,2.305343756075017
SANISETTE;;65  QUAI DE VALMY;75010;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3650131550286178, 48.87136893708937]], ""type"": ""MultiPoint""}";48.87136893708937,2.3650131550286178
TOILETTES;;PARC DES BUTTES CHAUMONT;75019;Voir fiche équipement;Oui;Non;https://www.paris.fr/equipements/parc-des-buttes-chaumont-1757;"{""coordinates"": [[2.383640963547957, 48.88182476781304]], ""type"": ""MultiPoint""}";48.88182476781304,2.383640963547957
TOILETTES;;SQUARE LEON SERPOLLET;75018;Voir fiche équipement;Oui;Non;https://www.paris.fr/equipements/square-leon-serpollet-2665;"{""coordinates"": [[2.3391013151326487, 48.89225644637532]], ""type"": ""MultiPoint""}";48.89225644637532,2.3391013151326487
TOILETTES;;PARC DE BELLEVILLE;75020;Voir fiche équipement;Oui;Non;https://www.paris.fr/equipements/jardin-des-couronnes-2748;"{""coordinates"": [[2.385561771177437, 48.87045899659526]], ""type"": ""MultiPoint""}";48.87045899659526,2.385561771177437
TOILETTES;;SQUARE THOMAS JEFFERSON;75016;Voir fiche équipement;Oui;Non;https://www.paris.fr/equipements/square-thomas-jefferson-2606;"{""coordinates"": [[2.2947040750311705, 48.86776558683861]], ""type"": ""MultiPoint""}";48.86776558683861,2.2947040750311705
TOILETTES;;SQUARE D'ANVERS;75009;Voir fiche équipement;Oui;Non;https://www.paris.fr/equipements/square-d-anvers-2468;"{""coordinates"": [[2.344132955956091, 48.88238662258446]], ""type"": ""MultiPoint""}";48.88238662258446,2.344132955956091
TOILETTES;;SQUARE ARISTIDE CAVAILLE-COLL;75010;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/square-aristide-cavaille-coll-2481;"{""coordinates"": [[2.35212188202011, 48.87832751275092]], ""type"": ""MultiPoint""}";48.87832751275092,2.35212188202011
TOILETTES;;JARDIN D'EOLE - AIRE DE JEUX;75018;Voir fiche équipement;Oui;Non;https://www.paris.fr/equipements/jardin-francoise-helene-jourda-ex-20-rue-du-departement-18075;"{""coordinates"": [[2.3661571088182436, 48.888348037389356]], ""type"": ""MultiPoint""}";48.888348037389356,2.3661571088182436
TOILETTES;;JARDIN D'EOLE - TERRAIN DE BASKET;75018;Voir fiche équipement;Oui;Non;https://www.paris.fr/equipements/jardin-francoise-helene-jourda-ex-20-rue-du-departement-18075;"{""coordinates"": [[2.365012494883851, 48.88664454218721]], ""type"": ""MultiPoint""}";48.88664454218721,2.365012494883851
TOILETTES;;SQUARE ALAIN BASHUNG;75018;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/square-alain-bashung-15429;"{""coordinates"": [[2.356093168659292, 48.88506257518371]], ""type"": ""MultiPoint""}";48.88506257518371,2.356093168659292
TOILETTES;;SQUARE DU TEMPLE;75003;Voir fiche équipement;Non;Oui;https://www.paris.fr/equipements/square-du-temple-elie-wiesel-2425;"{""coordinates"": [[2.3604997475942593, 48.86428649147141]], ""type"": ""MultiPoint""}";48.86428649147141,2.3604997475942593
WC PUBLICS PERMANENTS;;Parc Rives de Seine;75001;;Non;;;"{""coordinates"": [[2.3427224946732728, 48.85831632949923]], ""type"": ""MultiPoint""}";48.85831632949923,2.3427224946732728
SANISETTE;;face au 231 RUE RAYMOND LOSSERAND;75014;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3056540427590932, 48.82794450370339]], ""type"": ""MultiPoint""}";48.82794450370339,2.3056540427590932
SANISETTE;;face au 7 RUE LA QUINTINIE;75015;24 h / 24;Oui;;;"{""coordinates"": [[2.306332691603665, 48.83923304249819]], ""type"": ""MultiPoint""}";48.83923304249819,2.306332691603665
SANISETTE;;face au 40 RUE RENE BOULANGER;75010;24 h / 24;Oui;;;"{""coordinates"": [[2.3608778432995554, 48.8683183389778]], ""type"": ""MultiPoint""}";48.8683183389778,2.3608778432995554
SANISETTE;;face au 51 PLACE ALBERT KAHN;75018;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3460006044594537, 48.895774734607485]], ""type"": ""MultiPoint""}";48.895774734607485,2.3460006044594537
SANISETTE;;131  RUE D AVRON;75020;6 h - 22 h;Oui;;;"{""coordinates"": [[2.409258092200668, 48.85331628203856]], ""type"": ""MultiPoint""}";48.85331628203856,2.409258092200668
SANISETTE;;90  BOULEVARD DE SEBASTOPOL;;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3525443661897376, 48.86601791753035]], ""type"": ""MultiPoint""}";48.86601791753035,2.3525443661897376
SANISETTE;;36  BOULEVARD DE SEBASTOPOL;;24 h / 24;Oui;;;"{""coordinates"": [[2.3500308570315873, 48.861537352383735]], ""type"": ""MultiPoint""}";48.861537352383735,2.3500308570315873
SANISETTE;;14  RUE SAINT MARTIN;;24 h / 24;Oui;;;"{""coordinates"": [[2.349797594005608, 48.858200967363395]], ""type"": ""MultiPoint""}";48.858200967363395,2.349797594005608
SANISETTE;;8  RUE JEAN CALVIN;;24 h / 24;Oui;;;"{""coordinates"": [[2.348691572286761, 48.8416407780507]], ""type"": ""MultiPoint""}";48.8416407780507,2.348691572286761
SANISETTE;;1  AVENUE RICHERAND;75010;24 h / 24;Oui;;;"{""coordinates"": [[2.3654655903410577, 48.87183853334346]], ""type"": ""MultiPoint""}";48.87183853334346,2.3654655903410577
SANISETTE;;164  BOULEVARD VOLTAIRE;75011;6 h - 22 h;Oui;;;"{""coordinates"": [[2.38355339725316, 48.85564376523424]], ""type"": ""MultiPoint""}";48.85564376523424,2.38355339725316
SANISETTE;;18  AVENUE JEAN AICARD;75011;6 h - 1 h;Oui;;;"{""coordinates"": [[2.3809585996248357, 48.86569698373071]], ""type"": ""MultiPoint""}";48.86569698373071,2.3809585996248357
SANISETTE;;179  AVENUE DAUMESNIL;75012;6 h - 22 h;Oui;;;"{""coordinates"": [[2.392040374875127, 48.840525428672]], ""type"": ""MultiPoint""}";48.840525428672,2.392040374875127
SANISETTE;;2  BOULEVARD JOURDAN;75014;6 h - 22 h;Oui;;;"{""coordinates"": [[2.34433502420897, 48.81898671945179]], ""type"": ""MultiPoint""}";48.81898671945179,2.34433502420897
SANISETTE;;23  RUE DU DEPART;75014;24 h / 24;Oui;;;"{""coordinates"": [[2.3231649832198995, 48.84217571141368]], ""type"": ""MultiPoint""}";48.84217571141368,2.3231649832198995
SANISETTE;;116  QUAI DE JEMMAPES;75010;24 h / 24;Oui;;;"{""coordinates"": [[2.3636496993403733, 48.87492457138504]], ""type"": ""MultiPoint""}";48.87492457138504,2.3636496993403733
TOILETTES;;SQUARE FLORENCE BLUMENTHAL;75013;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/square-florence-blumenthal-2523;"{""coordinates"": [[2.367317874534179, 48.82749838275663]], ""type"": ""MultiPoint""}";48.82749838275663,2.367317874534179
TOILETTES;;SQUARE DU CHANOINE VIOLLET;75014;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/square-alberto-giacometti-2866;"{""coordinates"": [[2.3205317615891627, 48.8313476109017]], ""type"": ""MultiPoint""}";48.8313476109017,2.3205317615891627
TOILETTES;;PARC ANDRE CITROEN;75015;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/parc-andre-citroen-1791;"{""coordinates"": [[2.2761964394647434, 48.84174621728004]], ""type"": ""MultiPoint""}";48.84174621728004,2.2761964394647434
TOILETTES;;BOIS DE BOULOGNE - PARC DE BAGATELLE - ORANGERIE;75016;Voir fiche équipement;Non;Oui;https://www.paris.fr/equipements/parc-de-bagatelle-1808;"{""coordinates"": [[2.2457185498316936, 48.86844303067456]], ""type"": ""MultiPoint""}";48.86844303067456,2.2457185498316936
TOILETTES;;JARDIN DEBERGUE-RENDEZ-VOUS;75012;Voir fiche équipement;Oui;Non;https://www.paris.fr/equipements/jardin-debergue-rendez-vous-2848;"{""coordinates"": [[2.4039110707095728, 48.84657173098482]], ""type"": ""MultiPoint""}";48.84657173098482,2.4039110707095728
TOILETTES;;JARDINS DU TROCADERO;75016;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/jardins-du-trocadero-1789;"{""coordinates"": [[2.289051200983527, 48.862588523356806]], ""type"": ""MultiPoint""}";48.862588523356806,2.289051200983527
TOILETTES;;SQUARE DE LA RUE BAYEN;75017;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/square-olave-et-robert-baden-powell-ex-bayen-2630;"{""coordinates"": [[2.290614026007785, 48.88215739534307]], ""type"": ""MultiPoint""}";48.88215739534307,2.290614026007785
TOILETTES;;JARDIN DE LA RUE GINETTE NEVEU;75018;Voir fiche équipement;Oui;Non;https://www.paris.fr/equipements/jardin-de-la-rue-ginette-neveu-2654;"{""coordinates"": [[2.345035089551902, 48.900016901607415]], ""type"": ""MultiPoint""}";48.900016901607415,2.345035089551902
